# iy iz iroll Y Z Roll candidate quality planning_ratio q0 q1 q2 q3 q4 q5 cluster
2 0 5 0.12000000 0.40000000 2.79091000 0 5.91797000 1.00000000 0.00000000 -2.19419602 -1.39462170 -2.00439718 1.57000000 0.00000000 0
2 0 6 0.12000000 0.40000000 3.10909000 0 5.92214000 1.00000000 0.00000000 -2.33809710 -1.41875591 -1.89325371 1.57000000 0.00000000 0
2 0 7 0.12000000 0.40000000 3.42727000 0 5.89189000 1.00000000 0.00000000 -2.52698031 -1.35701462 -1.87638262 1.57000000 0.00000000 0
2 0 8 0.12000000 0.40000000 3.74545000 0 4.73842000 0.75000000 0.00000000 -2.92259034 -1.02977469 -2.11116676 1.57000000 0.00000000 0
2 0 9 0.12000000 0.40000000 4.06364000 0 4.32212000 0.62500000 0.00000000 -3.22486412 -0.87999523 -2.06658231 1.57000000 0.00000000 0
2 0 10 0.12000000 0.40000000 4.38182000 0 2.78203000 0.37500000 0.00000000 -3.40983405 -0.85679873 -2.23288019 1.57000000 0.00000000 0
2 0 11 0.12000000 0.40000000 4.70000000 0 2.43463000 0.25000000 0.00000000 -3.48425685 -0.91246513 -2.28935240 1.57000000 0.00000000 0
2 1 0 0.12000000 0.45000000 1.20000000 0 5.89067000 1.00000000 0.00000000 0.35853365 -1.85147320 -1.54172379 1.57000000 0.00000000 0
2 1 1 0.12000000 0.45000000 1.51818000 0 5.92758000 1.00000000 0.00000000 0.23102074 -1.18440292 -2.05571604 1.57000000 0.00000000 0
2 1 2 0.12000000 0.45000000 1.83636000 0 5.42326000 0.87500000 0.00000000 -1.55862338 -1.52462982 -2.27586361 1.57000000 0.00000000 0
2 1 3 0.12000000 0.45000000 2.15455000 0 5.32422000 0.87500000 0.00000000 -1.65000297 -1.50852830 -2.25009798 1.57000000 0.00000000 0
2 1 4 0.12000000 0.45000000 2.47273000 0 5.89554000 1.00000000 0.00000000 -1.99885054 -1.35412521 -2.03219524 1.57000000 0.00000000 0
2 1 5 0.12000000 0.45000000 2.79091000 0 5.92264000 1.00000000 0.00000000 -2.12672309 -1.36902268 -2.03333860 1.57000000 0.00000000 0
2 1 6 0.12000000 0.45000000 3.10909000 0 5.41013000 0.87500000 0.00000000 -2.33927902 -1.38735609 -1.95943965 1.57000000 0.00000000 0
2 1 7 0.12000000 0.45000000 3.42727000 0 5.37936000 0.87500000 0.00000000 -2.57724982 -1.32495598 -1.91601198 1.57000000 0.00000000 0
2 1 8 0.12000000 0.45000000 3.74545000 0 5.27837000 0.87500000 0.00000000 -2.90208425 -1.21029533 -1.92919100 1.57000000 0.00000000 0
2 1 9 0.12000000 0.45000000 4.06364000 0 3.65044000 0.50000000 0.00000000 -3.21367764 -0.96643703 -2.04728570 1.57000000 0.00000000 0
2 1 10 0.12000000 0.45000000 4.38182000 0 3.73965000 0.50000000 0.00000000 -3.19540210 -1.42011550 -1.43962304 1.57000000 0.00000000 0
2 1 11 0.12000000 0.45000000 4.70000000 0 2.78162000 0.25000000 0.00000000 -3.19470039 -1.49331135 -1.44518226 1.57000000 0.00000000 0
2 2 0 0.12000000 0.50000000 1.20000000 0 5.81537000 1.00000000 0.00000000 0.24485204 -1.42519740 -2.30469753 1.57000000 0.00000000 0
2 2 1 0.12000000 0.50000000 1.51818000 0 5.94641000 1.00000000 0.00000000 0.23138653 -1.25416726 -2.28733886 1.57000000 0.00000000 0
2 2 2 0.12000000 0.50000000 1.83636000 0 5.90282000 1.00000000 0.00000000 -1.16055588 1.50473804 -1.29521352 1.57000000 0.00000000 1
2 2 3 0.12000000 0.50000000 2.15455000 0 5.29720000 0.87500000 0.00000000 -1.62560977 -1.58807343 -2.28963008 1.57000000 0.00000000 0
2 2 4 0.12000000 0.50000000 2.47273000 0 5.83749000 1.00000000 0.00000000 -1.84814223 -1.43509223 -1.98023463 1.57000000 0.00000000 0
2 2 5 0.12000000 0.50000000 2.79091000 0 5.91531000 1.00000000 0.00000000 -2.01609860 -1.35898324 -2.06990821 1.57000000 0.00000000 0
2 2 6 0.12000000 0.50000000 3.10909000 0 5.88320000 1.00000000 0.00000000 -2.32965520 -1.16048724 -2.24469519 1.57000000 0.00000000 0
