# iy iz iroll Y Z Roll candidate quality q0 q1 q2 q3 q4 q5 mode
0 2 8 -0.75000000 0.03888890 0.84444400 -1 1.46078309 1.00000000 -0.00000000 -0.49556655 1.21625534 0.77721200 0.00000000 0
0 2 9 -0.75000000 0.03888890 1.05000000 -1 1.24855338 0.90000000 -0.00000000 -0.47106250 1.16624659 0.58489700 0.00000000 0
0 3 0 -0.75000000 0.08333330 -0.80000000 -1 1.33479711 0.50000000 -0.00000000 0.43892850 1.80362487 1.49019000 0.00000000 0
0 3 1 -0.75000000 0.08333330 -0.59444400 -1 1.83790844 0.70000000 -0.00000000 0.39419478 1.82957015 0.29559800 0.00000000 0
0 3 2 -0.75000000 0.08333330 -0.38888900 -1 1.86610484 0.80000000 0.00000003 0.34955320 1.83993135 -1.36681000 0.00000000 0
0 3 3 -0.75000000 0.08333330 -0.18333300 -1 1.43941807 1.00000000 -0.00000001 0.27655564 1.82559034 -1.34585000 0.00000000 0
0 3 4 -0.75000000 0.08333330 0.02222220 -1 1.48880240 1.00000000 -0.00000001 -0.30558990 1.42282510 -0.01717960 0.00000000 0
0 3 5 -0.75000000 0.08333330 0.22777800 -1 1.44656567 1.00000000 -0.00000000 -0.31878214 1.42034962 -0.96727700 0.00000000 0
0 3 6 -0.75000000 0.08333330 0.43333300 -1 1.35246660 1.00000000 -0.00000001 -0.38496337 1.39549611 1.72665000 0.00000000 0
0 3 7 -0.75000000 0.08333330 0.63888900 -1 1.34176326 1.00000000 -0.00000000 -0.49971270 1.30929216 -0.31504900 0.00000000 0
0 3 8 -0.75000000 0.08333330 0.84444400 -1 1.25123985 1.00000000 -0.00000001 -0.51882784 1.24338108 1.24002000 0.00000000 0
0 3 9 -0.75000000 0.08333330 1.05000000 -1 0.99571917 1.00000000 -0.00000001 -1.22653019 1.96873588 1.57453000 0.00000000 0
0 4 0 -0.75000000 0.12777800 -0.80000000 -1 1.21011262 0.50000000 -0.00000001 0.50425126 1.76255879 -0.79347400 0.00000000 0
0 4 1 -0.75000000 0.12777800 -0.59444400 -1 1.51129270 0.40000000 -0.00000000 0.44936690 1.80753512 0.72679100 0.00000000 0
0 4 2 -0.75000000 0.12777800 -0.38888900 -1 1.54737082 0.70000000 -0.00000000 -0.48097352 2.06302533 1.48595000 0.00000000 0
