# Y Z ROLL candidate quality planning q0 q1 q2 q3 q4 q5
-0.75 0.0388889 -0.8 0 9.02594 0.8 0 0.481163 1.91928 0.109046 0 0
-0.75 0.0388889 -0.594444 4 8.07108 0.7 0 0.128784 1.55792 0.544014 0 0
-0.75 0.0388889 -0.388889 0 9.06321 0.8 0 0.14328 1.45192 1.57813 0 0
-0.75 0.0388889 -0.183333 1 10.0596 0.9 0 -0.349943 1.53942 1.44912 0 0
-0.75 0.0388889 0.0222222 5 10.0888 0.9 0 -0.460998 0.940163 1.28783 0 0
-0.75 0.0388889 0.227778 0 11.0863 1 0 -0.621725 0.832509 1.68989 0 0
-0.75 0.0388889 0.433333 0 11.0801 1 0 0.486691 0.456977 1.51 0 0
-0.75 0.0388889 0.638889 0 11.104 1 0 0.192258 0.368192 1.25206 0 0
-0.75 0.0388889 0.844444 0 11.0966 1 0 -0.250481 0.607938 1.49274 0 0
-0.75 0.0388889 1.05 0 11.109 1 0 -0.545957 0.742391 0.465805 0 0
-0.75 0.0833333 -0.8 0 6.09372 0.5 0 -0.227025 1.21352 0.419946 0 0
-0.75 0.0833333 -0.594444 0 9.06846 0.8 0 0.127952 1.61944 0.273786 0 0
-0.75 0.0833333 -0.388889 0 9.0488 0.8 0 -0.537991 1.77194 1.06849 0 0
-0.75 0.0833333 -0.183333 0 11.0882 1 0 -0.00933536 1.19444 0.738001 0 0
-0.75 0.0833333 0.0222222 4 10.0769 0.9 0 0.026636 1.51287 0.632341 0 0
-0.75 0.0833333 0.227778 1 11.089 1 0 -0.0622841 1.33646 -0.0739732 0 0
-0.75 0.0833333 0.433333 0 11.1096 1 0 -0.0879556 0.814021 0.310535 0 0
-0.75 0.0833333 0.638889 1 11.0917 1 0 -0.199267 1.24834 0.488173 0 0
-0.75 0.0833333 0.844444 2 11.0942 1 0 -0.739474 1.15357 0.19079 0 0
-0.75 0.0833333 1.05 0 11.0941 1 0 -0.644984 1.17788 -0.069613 0 0
-0.75 0.127778 -0.8 1 6.08883 0.5 0 0.288899 1.03843 0.276808 0 0
-0.75 0.127778 -0.594444 0 7.10914 0.6 0 0.057207 0.737156 0.544715 0 0
-0.75 0.127778 -0.388889 0 10.1049 0.9 0 -0.0990432 0.448897 1.05566 0 0
-0.75 0.127778 -0.183333 2 9.08561 0.8 0 0.0508305 1.37012 0.186812 0 0
-0.75 0.127778 0.0222222 0 11.0692 1 0 -0.134876 1.68635 0.0304994 0 0
-0.75 0.127778 0.227778 2 11.0802 1 0 0.100509 1.41904 0.53208 0 0
-0.75 0.127778 0.433333 1 11.0925 1 0 -0.572429 0.796202 1.33053 0 0
-0.75 0.127778 0.638889 3 11.0914 1 0 -0.777246 0.923328 0.916483 0 0
-0.75 0.127778 0.844444 3 11.0758 1 0 -0.910657 1.40297 0.72534 0 0
-0.75 0.127778 1.05 1 11.0848 1 0 -0.639515 1.36694 0.284448 0 0
-0.75 0.172222 -0.8 6 5.09201 0.4 0 -0.121616 1.27157 -0.145495 0 0
-0.75 0.172222 -0.594444 0 7.08434 0.6 0 -0.322036 1.36595 -0.740202 0 0
-0.75 0.172222 -0.388889 0 10.0446 0.9 0 0.452427 1.68056 0.0969873 0 0
-0.75 0.172222 -0.183333 8 9.06503 0.8 0 -0.402434 1.71702 0.544274 0 0
-0.75 0.172222 0.0222222 0 10.081 0.9 0 -0.48822 1.43307 0.592662 0 0
-0.75 0.172222 0.227778 0 11.0895 1 0 -0.141037 1.32163 -0.152642 0 0
-0.75 0.172222 0.433333 0 11.0988 1 0 -0.493035 0.596249 1.26151 0 0
-0.75 0.172222 0.638889 2 11.0966 1 0 -0.74008 0.626151 1.27802 0 0
